NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Carduus litigiosus Nocca & Balb., 1821 ",MOY,Carduus litigiosus
"Carduus nigrescens subsp. nigrescens Vill., 1779 ",MOY,Carduus nigrescens subsp. nigrescens 
"Carduus nigrescens subsp. vivariensis (Jord.) Bonnier  & Layens, 1894 ",MOY,Carduus nigrescens subsp. vivariensis 
"Carduus nigrescens Vill., 1779 ",MOY,Carduus nigrescens
"Carduus nutans L., 1753 ",MOY,Carduus nutans
"Carduus nutans subsp. nutans L., 1753 ",MOY,Carduus nutans subsp. nutans 
"Carduus nutans subsp. platylepis (Rchb. & Saut.)  Nyman, 1879 ",MOY,Carduus nutans subsp. platylepis 
"Carduus personata (L.) Jacq., 1776 ",FOR,Carduus personata
"Carduus pycnocephalus L., 1763 ",MOY,Carduus pycnocephalus
"Carduus sardous DC., 1838 ",TFO,Carduus sardous
"Carduus tenuiflorus Curtis, 1793 ",MOY,Carduus tenuiflorus
"Carex acuta L., 1753 ",MOY,Carex acuta
"Carex acutiformis Ehrh., 1789 ",MOY,Carex acutiformis
"Carex alba Scop., 1772 ",MOY,Carex alba
"Carex appropinquata Schumach., 1801 ",MOY,Carex appropinquata
"Carex atrata L., 1753 ",MOY,Carex atrata
"Carex atrofusca Schkuhr, 1801 ",MOY,Carex atrofusca
"Carex austroalpina Bech., 1939 ",MOY,Carex austroalpina
"Carex bicolor All., 1785 ",MOY,Carex bicolor
"Carex binervis Sm., 1800 ",FOR,Carex binervis
"Carex bipartita Bellardi ex All., 1785 ",DD,Carex bipartita
"Carex bohemica Schreb., 1772 ",TFO,Carex bohemica
"Carex brachystachys Schrank, 1789 ",MOY,Carex brachystachys
"Carex brevicollis DC., 1815 ",FOR,Carex brevicollis
"Carex buxbaumii Wahlenb., 1803 ",FOR,Carex buxbaumii
"Carex canescens L., 1753 ",MOY,Carex canescens
"Carex capillaris L., 1753 ",MOY,Carex capillaris
"Carex caryophyllea Latourr., 1785 ",FAI,Carex caryophyllea
"Carex cespitosa L., 1753 ",FOR,Carex cespitosa
"Carex chordorrhiza L.f., 1782 ",FOR,Carex chordorrhiza
"Carex curvula All., 1785 ",MOY,Carex curvula
"Carex curvula subsp. curvula All., 1785 ",MOY,Carex curvula subsp. curvula 
"Carex curvula subsp. rosae Gilomen, 1937 ",MOY,Carex curvula subsp. rosae 
"Carex davalliana Sm., 1800 ",MOY,Carex davalliana
"Carex demissa Vahl ex Hartm., 1808 ",MOY,Carex demissa
"Carex depauperata Curtis ex With., 1787 ",MOY,Carex depauperata
"Carex depressa subsp. basilaris (Jord.) Kerguélen,  1987 ",MOY,Carex depressa subsp. basilaris 
"Carex depressa subsp. depressa Link, 1800 ",MOY,Carex depressa subsp. depressa 
"Carex diandra Schrank, 1781 ",FOR,Carex diandra
"Carex digitata L., 1753 ",MOY,Carex digitata
"Carex dioica L., 1753 ",DD,Carex dioica
"Carex distachya Desf., 1799 ",MOY,Carex distachya
"Carex distans L., 1759 ",MOY,Carex distans
"Carex disticha Huds., 1762 ",MOY,Carex disticha
"Carex divisa Huds., 1762 ",MOY,Carex divisa
"Carex divulsa Stokes, 1787 ",MOY,Carex divulsa
"Carex echinata Murray, 1770 ",MOY,Carex echinata
"Carex elata All., 1785 ",FOR,Carex elata
"Carex ericetorum Pollich, 1777 ",MOY,Carex ericetorum
"Carex extensa Gooden., 1794 ",MOY,Carex extensa
"Carex ferruginea Scop., 1772 ",MOY,Carex ferruginea
"Carex fimbriata Schkuhr, 1806 ",MOY,Carex fimbriata
"Carex firma Mygind ex Host, 1797 ",MOY,Carex firma
"Carex flacca Schreb., 1771 ",MOY,Carex flacca
"Carex flacca subsp. claviformis (Hoppe) Schinz &  Thell., 1909 ",DD,Carex flacca subsp. claviformis 
"Carex flacca subsp. flacca Schreb., 1771 ",DD,Carex flacca subsp. flacca 
"Carex flacca subsp. serrulata (Biv.) Greuter, 1967 ",DD,Carex flacca subsp. serrulata 
"Carex flava L., 1753 ",MOY,Carex flava
"Carex foetida All., 1785 ",MOY,Carex foetida
"Carex frigida All., 1785 ",MOY,Carex frigida
"Carex grioletii Roem., 1806 ",MOY,Carex grioletii
"Carex halleriana Asso, 1779 ",MOY,Carex halleriana
"Carex hartmanii Cajander, 1935 ",MOY,Carex hartmanii
"Carex hirta L., 1753 ",MOY,Carex hirta
"Carex hispida Willd., 1801 ",FOR,Carex hispida
"Carex hordeistichos Vill., 1779 ",TFO,Carex hordeistichos
"Carex hostiana DC., 1813 ",MOY,Carex hostiana
"Carex humilis Leyss., 1758 ",FAI,Carex humilis
"Carex laevigata Sm., 1800 ",MOY,Carex laevigata
"Carex lasiocarpa Ehrh., 1784 ",MOY,Carex lasiocarpa
"Carex leersii F.W.Schultz, 1870 ",MOY,Carex leersii
"Carex lepidocarpa Tausch, 1834 ",MOY,Carex lepidocarpa
"Carex leporina L., 1753 ",MOY,Carex leporina
"Carex limosa L., 1753 ",MOY,Carex limosa
"Carex liparocarpos Gaudin, 1804 ",MOY,Carex liparocarpos
"Carex mabilliana (Rouy) Prain, 1921 ",TFO,Carex mabilliana
"Carex macrostylos Lapeyr., 1813 ",FOR,Carex macrostylos
"Carex magacis A.M.Molina, Acedo & Llamas, 2007 ",MOY,Carex magacis
"Carex mairei Coss. & Germ., 1840 ",MOY,Carex mairei
"Carex melanostachya M.Bieb. ex Willd., 1805 ",FOR,Carex melanostachya
"Carex microcarpa Bertol. ex Moris, 1827 ",MOY,Carex microcarpa
"Carex microglochin Wahlenb., 1803 ",MOY,Carex microglochin
"Carex montana L., 1753 ",MOY,Carex montana
"Carex mucronata All., 1785 ",MOY,Carex mucronata
"Carex muricata L., 1753 ",MOY,Carex muricata
"Carex myosuroides Vill., 1779 ",MOY,Carex myosuroides
"Carex nigra (L.) Reichard, 1778 ",MOY,Carex nigra
"Carex oedipostyla Duval-Jouve, 1870 ",MOY,Carex oedipostyla
"Carex olbiensis Jord., 1846 ",MOY,Carex olbiensis
"Carex ornithopoda subsp. ornithopoda Willd., 1805 ",MOY,Carex ornithopoda subsp. ornithopoda 
"Carex ornithopoda subsp. ornithopodioides (Hausm.)  Nyman, 1882 ",MOY,Carex ornithopoda subsp. ornithopodioides 
"Carex ornithopoda Willd., 1805 ",MOY,Carex ornithopoda
"Carex otrubae Podp., 1922 ",MOY,Carex otrubae
"Carex pairae F.W.Schultz, 1868 ",MOY,Carex pairae
"Carex pallescens L., 1753 ",MOY,Carex pallescens
"Carex panicea L., 1753 ",MOY,Carex panicea
"Carex parviflora Host, 1801 ",MOY,Carex parviflora
"Carex pauciflora Lightf., 1777 ",MOY,Carex pauciflora
"Carex pendula Huds., 1762 ",MOY,Carex pendula
"Carex pilulifera L., 1753 ",MOY,Carex pilulifera
"Carex praecox Schreb., 1771 ",MOY,Carex praecox
"Carex pseudocyperus L., 1753 ",MOY,Carex pseudocyperus
"Carex pulicaris L., 1753 ",MOY,Carex pulicaris
"Carex punctata Gaudin, 1811 ",MOY,Carex punctata
"Carex pyrenaica Wahlenb., 1803 ",MOY,Carex pyrenaica
"Carex remota L., 1755 ",MOY,Carex remota
"Carex riparia Curtis, 1783 ",MOY,Carex riparia
"Carex rostrata Stokes, 1787 ",MOY,Carex rostrata
"Carex rupestris All., 1785 ",MOY,Carex rupestris
"Carex sempervirens subsp. pseudotristis (Domin)  Paw?., 1937 ",MOY,Carex sempervirens subsp. pseudotristis 
"Carex sempervirens subsp. sempervirens Vill., 1787 ",MOY,Carex sempervirens subsp. sempervirens 
"Carex sempervirens Vill., 1787 ",MOY,Carex sempervirens
"Carex spicata Huds., 1762 ",MOY,Carex spicata
"Carex strigosa Huds., 1778 ",FOR,Carex strigosa
"Carex sylvatica Huds., 1762 ",MOY,Carex sylvatica
"Carex tomentosa L., 1767 ",MOY,Carex tomentosa
"Carex umbrosa Host, 1801 ",MOY,Carex umbrosa
"Carex vesicaria L., 1753 ",MOY,Carex vesicaria
"Carex viridula Michx., 1803 ",MOY,Carex viridula
"Carex vulpina L., 1753 ",TFO,Carex vulpina
"Carlina acanthifolia All., 1773 ",MOY,Carlina acanthifolia
"Carlina acanthifolia subsp. acanthifolia All., 1773 ",MOY,Carlina acanthifolia subsp. acanthifolia 
"Carlina acanthifolia subsp. cynara (Pourr. ex DC.)  Arcang., 1882 ",MOY,Carlina acanthifolia subsp. cynara 
"Carlina acaulis subsp. caulescens (Lam.) Schübl. &  G.Martens, 1834 ",MOY,Carlina acaulis subsp. caulescens 
"Carlina corymbosa L., 1753 ",MOY,Carlina corymbosa
"Carlina gummifera (L.) Less., 1832 ",DD,Carlina gummifera
"Carlina hispanica Lam., 1785 ",MOY,Carlina hispanica
"Carlina lanata L., 1753 ",MOY,Carlina lanata
"Carlina macrocephala Moris, 1827 ",FOR,Carlina macrocephala
"Carlina vulgaris L., 1753 ",FAI,Carlina vulgaris
"Carpesium cernuum L., 1753 ",MOY,Carpesium cernuum
"Carpinus betulus L., 1753 ",MOY,Carpinus betulus
"Carthamus caeruleus L., 1753 ",FOR,Carthamus caeruleus
"Carthamus carduncellus L., 1753 ",MOY,Carthamus carduncellus
"Carthamus lanatus L., 1753 ",MOY,Carthamus lanatus
"Carthamus mitissimus L., 1753 ",MOY,Carthamus mitissimus
"Carum carvi L., 1753 ",MOY,Carum carvi
"Castanea sativa Mill., 1768 ",FAI,Castanea sativa
"Castroviejoa frigida (Labill.) Galbany, L.Sáez & Benedí,  2004 ",FOR,Castroviejoa frigida
"Catabrosa aquatica (L.) P.Beauv., 1812 ",MOY,Catabrosa aquatica
"Catananche caerulea L., 1753 ",MOY,Catananche caerulea
"Catapodium hemipoa (Delile ex Spreng.) Laínz, 1966 ",FOR,Catapodium hemipoa
"Catapodium marinum (L.) C.E.Hubb., 1955 ",MOY,Catapodium marinum
"Catapodium rigidum (L.) C.E.Hubb., 1953 ",MOY,Catapodium rigidum
"Caucalis platycarpos L., 1753 ",FAI,Caucalis platycarpos
"Celtis australis L., 1753 ",MOY,Celtis australis
"Centaurea aspera L., 1753 ",MOY,Centaurea aspera
"Centaurea aspera subsp. aspera L., 1753 ",MOY,Centaurea aspera subsp. aspera 
"Centaurea aspera subsp. pseudosphaerocephala  (Shuttlew. ex Rouy) Gugler, 1907 ",DD,Centaurea aspera subsp. pseudosphaerocephala 
"Centaurea benedicta (L.) L., 1763 ",MOY,Centaurea benedicta
"Centaurea calcitrapa L., 1753 ",MOY,Centaurea calcitrapa
"Centaurea collina L., 1753 ",MOY,Centaurea collina
"Centaurea corymbosa Pourr., 1788 ",TFO,Centaurea corymbosa
"Centaurea decipiens Thuill., 1799 ",MOY,Centaurea decipiens
"Centaurea dracunculifolia Dufour, 1831 ",TFO,Centaurea dracunculifolia
"Centaurea hanryi Jord., 1847 ",FOR,Centaurea hanryi
"Centaurea jacea L., 1753 ",MOY,Centaurea jacea
"Centaurea jacea subsp. jacea L., 1753 ",MOY,Centaurea jacea subsp. jacea 
"Centaurea jacea subsp. timbalii (Martrin-Donos)  Braun-Blanq., 1952 ",MOY,Centaurea jacea subsp. timbalii 
"Centaurea jordaniana subsp. aemilii (Briq.) Kerguélen,  1998 ",TFO,Centaurea jordaniana subsp. aemilii 
"Centaurea jordaniana subsp. balbisiana (Soldano)  Kerguélen, 1998 ",TFO,Centaurea jordaniana subsp. balbisiana 
"Centaurea jordaniana subsp. jordaniana Godr. &  Gren., 1850 ",TFO,Centaurea jordaniana subsp. jordaniana 
"Centaurea jordaniana subsp. verguinii (Briq. & Cavill.)  Kerguélen, 1998 ",TFO,Centaurea jordaniana subsp. verguinii 
"Centaurea melitensis L., 1753 ",MOY,Centaurea melitensis
"Centaurea napifolia L., 1753 ",FOR,Centaurea napifolia
"Centaurea nervosa Willd., 1809 ",MOY,Centaurea nervosa
"Centaurea nigra L., 1753 ",MOY,Centaurea nigra
"Centaurea nigrescens subsp. transalpina (Schleich. ex  DC.) Nyman, 1879 ",MOY,Centaurea nigrescens subsp. transalpina 
"Centaurea paniculata L., 1753 ",MOY,Centaurea paniculata
"Centaurea paniculata subsp. leucophaea (Jord.)  Arcang., 1882 ",MOY,Centaurea paniculata subsp. leucophaea 
"Centaurea paniculata subsp. pallidula Rouy, 1904 ",DD,Centaurea paniculata subsp. pallidula 
"Centaurea paniculata subsp. paniculata L., 1753 ",MOY,Centaurea paniculata subsp. paniculata 
"Centaurea paniculata subsp. polycephala (Jord.) Nyman, 1879 ",FOR,Centaurea paniculata subsp. polycephala 
"Centaurea pectinata L., 1763 ",MOY,Centaurea pectinata
"Centaurea pseudocineraria (Fiori) Rouy, 1904 ",TFO,Centaurea pseudocineraria
"Centaurea scabiosa L., 1753 ",FAI,Centaurea scabiosa
"Centaurea scabiosa subsp. alpestris (Hegetschw.)  Nyman, 1879 ",MOY,Centaurea scabiosa subsp. alpestris 
"Centaurea scabiosa subsp. scabiosa L., 1753 ",FAI,Centaurea scabiosa subsp. scabiosa 
"Centaurea solstitialis L., 1753 ",MOY,Centaurea solstitialis
"Centaurea sphaerocephala subsp. sphaerocephala L.,  1753 ",TFO,Centaurea sphaerocephala subsp. sphaerocephala 
"Centaurea stoebe L., 1753 ",MOY,Centaurea stoebe
"Centaurea uniflora Turra, 1765 ",MOY,Centaurea uniflora
"Centaurium erythraea Rafn, 1800 ",MOY,Centaurium erythraea
"Centaurium erythraea subsp. erythraea Rafn, 1800 ",MOY,Centaurium erythraea subsp. erythraea 
"Centaurium erythraea subsp. majus (Hoffmanns. &  Link) Laínz, 1971 ",DD,Centaurium erythraea subsp. majus 
"Centaurium erythraea subsp. rhodense (Boiss. &  Reut.) Melderis, 1972 ",DD,Centaurium erythraea subsp. rhodense 
"Centaurium erythraea subsp. rumelicum (Velen.)  Melderis, 1972 ",DD,Centaurium erythraea subsp. rumelicum 
"Centaurium favargeri Zeltner, 1970 ",TFO,Centaurium favargeri
"Centaurium maritimum (L.) Fritsch, 1907 ",MOY,Centaurium maritimum
"Centaurium pulchellum (Sw.) Druce, 1898 ",MOY,Centaurium pulchellum
"Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,  1907 ",MOY,Centaurium tenuiflorum
"Centranthus angustifolius (Mill.) DC., 1805 ",MOY,Centranthus angustifolius
"Centranthus calcitrapae (L.) Dufr., 1811 ",MOY,Centranthus calcitrapae
"Centranthus lecoqii Jord., 1852 ",MOY,Centranthus lecoqii
"Centranthus ruber (L.) DC., 1805 ",MOY,Centranthus ruber
"Centranthus trinervis (Viv.) Bég., 1903 ",FOR,Centranthus trinervis
"Cephalanthera damasonium (Mill.) Druce, 1906 ",FAI,Cephalanthera damasonium
"Cephalanthera longifolia (L.) Fritsch, 1888 ",FAI,Cephalanthera longifolia
"Cephalanthera rubra (L.) Rich., 1817 ",FAI,Cephalanthera rubra
"Cephalaria alpina (L.) Schrad. ex Roem. & Schult.,  1818 ",MOY,Cephalaria alpina
"Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.,  1818 ",MOY,Cephalaria leucantha
Cephalaria squamiflora subsp. mediterranea (Viv.)  Pignatti ,DD,Cephalaria squamiflora subsp. mediterranea 
"Cephalaria transylvanica (L.) Schrad. ex Roem. &  Schult., 1818 ",FOR,Cephalaria transylvanica
"Cerastium alpinum L., 1753 ",MOY,Cerastium alpinum
"Cerastium arvense L., 1753 ",FAI,Cerastium arvense
"Cerastium arvense subsp. arvense L., 1753 ",MOY,Cerastium arvense subsp. arvense 
"Cerastium arvense subsp. strictum Gaudin, 1828 ",FAI,Cerastium arvense subsp. strictum 
"Cerastium arvense subsp. suffruticosum (L.) Ces.,  1844 ",MOY,Cerastium arvense subsp. suffruticosum 
"Cerastium boissierianum Greuter & Burdet, 1984 ",FOR,Cerastium boissierianum
"Cerastium brachypetalum Desp. ex Pers., 1805 ",MOY,Cerastium brachypetalum
"Cerastium brachypetalum subsp. brachypetalum  Desp. ex Pers., 1805 ",MOY,Cerastium brachypetalum subsp. brachypetalum 
"Cerastium brachypetalum subsp. roeseri (Boiss. &  Heldr.) Nyman, 1878 ",DD,Cerastium brachypetalum subsp. roeseri 
"Cerastium cerastoides (L.) Britton, 1894 ",MOY,Cerastium cerastoides
"Cerastium diffusum Pers., 1805 ",MOY,Cerastium diffusum
"Cerastium fontanum Baumg., 1816 ",MOY,Cerastium fontanum
"Cerastium fontanum subsp. lucorum (Schur) Soó, 1970 ",DD,Cerastium fontanum subsp. lucorum 
"Cerastium fontanum subsp. vulgare (Hartm.) Greuter  & Burdet, 1982 ",MOY,Cerastium fontanum subsp. vulgare 
"Cerastium glomeratum Thuill., 1799 ",MOY,Cerastium glomeratum
"Cerastium glutinosum Fr., 1817 ",MOY,Cerastium glutinosum
"Cerastium latifolium L., 1753 ",MOY,Cerastium latifolium
"Cerastium ligusticum subsp. ligusticum Viv., 1802 ",FOR,Cerastium ligusticum subsp. ligusticum 
"Cerastium ligusticum subsp. palustre (Moris) P.D.Sell  & Whitehead, 1964 ",DD,Cerastium ligusticum subsp. palustre 
"Cerastium ligusticum Viv., 1802 ",FOR,Cerastium ligusticum
"Cerastium pedunculatum Gaudin, 1828 ",MOY,Cerastium pedunculatum
"Cerastium pumilum Curtis, 1777 ",MOY,Cerastium pumilum
"Cerastium pyrenaicum J.Gay, 1832 ",FOR,Cerastium pyrenaicum
"Cerastium ramosissimum Boiss., 1838 ",MOY,Cerastium ramosissimum
"Cerastium semidecandrum L., 1753 ",MOY,Cerastium semidecandrum
"Cerastium semidecandrum subsp. balearicum  (F.Herm.) Litard., 1948 ",DD,Cerastium semidecandrum subsp. balearicum 
"Cerastium semidecandrum subsp. semidecandrum L.,  1753 ",DD,Cerastium semidecandrum subsp. semidecandrum 
"Cerastium siculum Guss., 1832 ",FOR,Cerastium siculum
"Cerastium soleirolii Ser. ex Duby, 1828 ",FOR,Cerastium soleirolii
"Cerastium stenopetalum Fenzl ex Gren. & Godr., 1848 ",DD,Cerastium stenopetalum
"Cerastium uniflorum Clairv., 1811 ",DD,Cerastium uniflorum
"Ceratocapnos claviculata (L.) Lidén, 1984 ",MOY,Ceratocapnos claviculata
"Ceratocephala falcata (L.) Pers., 1805 ",MOY,Ceratocephala falcata
"Ceratonia siliqua L., 1753 ",FOR,Ceratonia siliqua
"Ceratophyllum demersum L., 1753 ",MOY,Ceratophyllum demersum
"Ceratophyllum submersum L., 1763 ",FOR,Ceratophyllum submersum
"Cercis siliquastrum L., 1753 ",MOY,Cercis siliquastrum
"Cerinthe glabra Mill., 1768 ",MOY,Cerinthe glabra
"Cerinthe major L., 1753 ",FOR,Cerinthe major
"Cerinthe major subsp. gymnandra (Gasp.) Rouy, 1908 ",MOY,Cerinthe major subsp. gymnandra 
"Cerinthe major subsp. major L., 1753 ",MOY,Cerinthe major subsp. major 
"Cerinthe minor subsp. auriculata (Ten.) Rouy, 1927 ",MOY,Cerinthe minor subsp. auriculata 
"Cerinthe tenuiflora Bertol., 1836 ",TFO,Cerinthe tenuiflora
"Cervaria rivini Gaertn., 1788 ",MOY,Cervaria rivini
"Chaenorrhinum minus subsp. minus (L.) Lange, 1870 ",MOY,Chaenorrhinum minus subsp. minus 
"Chaenorrhinum minus subsp. pseudorubrifolium  Gamisans, 1992 ",TFO,Chaenorrhinum minus subsp. pseudorubrifolium 
"Chaenorrhinum origanifolium (L.) Kostel., 1844 ",MOY,Chaenorrhinum origanifolium
"Chaenorrhinum rubrifolium (Robill. & Castagne ex  DC.) Fourr., 1869 ",MOY,Chaenorrhinum rubrifolium
"Chaerophyllum aureum L., 1762 ",MOY,Chaerophyllum aureum
"Chaerophyllum elegans Gaudin, 1828 ",FOR,Chaerophyllum elegans
"Chaerophyllum hirsutum L., 1753 ",MOY,Chaerophyllum hirsutum
"Chaerophyllum nodosum (L.) Crantz, 1767 ",MOY,Chaerophyllum nodosum
"Chaerophyllum temulum L., 1753 ",FAI,Chaerophyllum temulum
"Chaerophyllum villarsii W.D.J.Koch, 1837 ",MOY,Chaerophyllum villarsii
"Chaetonychia cymosa (L.) Sweet, 1839 ",FOR,Chaetonychia cymosa
"Chamaemelum fuscatum (Brot.) Vasc., 1967 ",FOR,Chamaemelum fuscatum
"Chamaerops humilis L., 1753 ",DD,Chamaerops humilis
"Chamorchis alpina (L.) Rich., 1817 ",MOY,Chamorchis alpina
"Charybdis maritima (L.) Speta, 1998 ",MOY,Charybdis maritima
"Charybdis undulata (Desf.) Speta, 2001 ",FOR,Charybdis undulata
"Cheirolophus intybaceus (Lam.) Dostál, 1976 ",FOR,Cheirolophus intybaceus
"Chelidonium majus L., 1753 ",FAI,Chelidonium majus
"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila &  Borsch, 2012 ",MOY,Chenopodiastrum hybridum
"Chenopodiastrum murale (L.) S.Fuentes, Uotila &  Borsch, 2012 ",MOY,Chenopodiastrum murale
"Chenopodium album L., 1753 ",FAI,Chenopodium album
"Chenopodium album subsp. album L., 1753 ",FAI,Chenopodium album subsp. album 
"Chenopodium album subsp. opulifolium (Schrad. ex  W.D.J.Koch & Ziz) Batt., 1890 ",MOY,Chenopodium album subsp. opulifolium 
"Chenopodium ficifolium Sm., 1800 ",MOY,Chenopodium ficifolium
"Chenopodium vulvaria L., 1753 ",MOY,Chenopodium vulvaria
"Chiliadenus glutinosus (L.) Fourr., 1869 ",FOR,Chiliadenus glutinosus
"Chondrilla juncea L., 1753 ",MOY,Chondrilla juncea
"Chrozophora tinctoria (L.) A.Juss., 1824 ",MOY,Chrozophora tinctoria
"Chrysopogon gryllus (L.) Trin., 1820 ",MOY,Chrysopogon gryllus
"Chrysosplenium alternifolium L., 1753 ",MOY,Chrysosplenium alternifolium
"Chrysosplenium oppositifolium L., 1753 ",MOY,Chrysosplenium oppositifolium
"Cicendia filiformis (L.) Delarbre, 1800 ",FOR,Cicendia filiformis
"Cichorium intybus L., 1753 ",MOY,Cichorium intybus
"Cichorium pumilum Jacq., 1771 ",DD,Cichorium pumilum
"Cicuta virosa L., 1753 ",MOY,Cicuta virosa
"Circaea alpina L., 1753 ",MOY,Circaea alpina
"Circaea lutetiana L., 1753 ",MOY,Circaea lutetiana
"Cirsium acaulon (L.) Scop., 1769 ",FAI,Cirsium acaulon
"Cirsium alsophilum (Pollini) Soldano, 1994 ",MOY,Cirsium alsophilum
"Cirsium arvense (L.) Scop., 1772 ",MOY,Cirsium arvense
"Cirsium creticum subsp. triumfetti (Lacaita) Werner,  1975 ",FOR,Cirsium creticum subsp. triumfetti 
"Cirsium dissectum (L.) Hill, 1768 ",DD,Cirsium dissectum
"Cirsium echinatum (Desf.) DC., 1815 ",MOY,Cirsium echinatum
"Cirsium eriophorum (L.) Scop., 1772 ",MOY,Cirsium eriophorum
"Cirsium erisithales (Jacq.) Scop., 1769 ",MOY,Cirsium erisithales
"Cirsium ferox (L.) DC., 1805 ",MOY,Cirsium ferox
"Cirsium heterophyllum (L.) Hill, 1768 ",MOY,Cirsium heterophyllum
"Cirsium italicum DC., 1813 ",FOR,Cirsium italicum
"Cirsium monspessulanum (L.) Hill, 1768 ",MOY,Cirsium monspessulanum
"Cirsium morisianum Rchb.f., 1853 ",MOY,Cirsium morisianum
"Cirsium oleraceum (L.) Scop., 1769 ",DD,Cirsium oleraceum
"Cirsium palustre (L.) Scop., 1772 ",MOY,Cirsium palustre
"Cirsium richterianum Gillot, 1880 ",FOR,Cirsium richterianum
"Cirsium rivulare (Jacq.) All., 1789 ",MOY,Cirsium rivulare
"Cirsium spinosissimum (L.) Scop., 1769 ",MOY,Cirsium spinosissimum
"Cirsium tuberosum (L.) All., 1785 ",MOY,Cirsium tuberosum
"Cirsium vulgare (Savi) Ten., 1838 ",MOY,Cirsium vulgare
"Cirsium vulgare subsp. crinitum (Boiss. ex DC.)  Arènes, 1948 ",DD,Cirsium vulgare subsp. crinitum 
"Cirsium vulgare subsp. vulgare (Savi) Ten., 1838 ",MOY,Cirsium vulgare subsp. vulgare 
"Cistus albidus L., 1753 ",MOY,Cistus albidus
"Cistus creticus L., 1759 ",MOY,Cistus creticus
"Cistus crispus L., 1753 ",FOR,Cistus crispus
"Cistus ladanifer L., 1753 ",FOR,Cistus ladanifer
"Cistus lasianthus subsp. alyssoides (Lam.) Demoly,  2006 ",FOR,Cistus lasianthus subsp. alyssoides 
"Cistus laurifolius subsp. laurifolius L., 1753 ",MOY,Cistus laurifolius subsp. laurifolius 
"Cistus monspeliensis L., 1753 ",MOY,Cistus monspeliensis
"Cistus populifolius L., 1753 ",FOR,Cistus populifolius
"Cistus pouzolzii Delile, 1840 ",MOY,Cistus pouzolzii
"Cistus salviifolius L., 1753 ",MOY,Cistus salviifolius
"Cistus umbellatus subsp. umbellatus L., 1753 ",MOY,Cistus umbellatus subsp. umbellatus 
"Cistus umbellatus subsp. viscosus (Willk.) Demoly,  2006 ",FOR,Cistus umbellatus subsp. viscosus 
"Cladanthus mixtus (L.) Chevall., 1827 ",FOR,Cladanthus mixtus
"Cladium mariscus (L.) Pohl, 1809 ",MOY,Cladium mariscus
"Clematis alpina (L.) Mill., 1768 ",FAI,Clematis alpina
"Clematis cirrhosa L., 1753 ",MOY,Clematis cirrhosa
"Clematis flammula L., 1753 ",MOY,Clematis flammula
"Clematis recta L., 1753 ",MOY,Clematis recta
"Clematis vitalba L., 1753 ",MOY,Clematis vitalba
"Clinopodium acinos (L.) Kuntze, 1891 ",MOY,Clinopodium acinos
"Clinopodium alpinum (L.) Kuntze, 1891 ",MOY,Clinopodium alpinum
"Clinopodium alpinum subsp. alpinum (L.) Kuntze,  1891 ",MOY,Clinopodium alpinum subsp. alpinum 
"Clinopodium alpinum subsp. meridionale (Nyman)  Govaerts, 1999 ",MOY,Clinopodium alpinum subsp. meridionale 
"Clinopodium corsicum (Pers.) Govaerts, 1999 ",TFO,Clinopodium corsicum
"Clinopodium grandiflorum (L.) Kuntze, 1891 ",MOY,Clinopodium grandiflorum
"Clinopodium nepeta (L.) Kuntze, 1891 ",MOY,Clinopodium nepeta
"Clinopodium nepeta subsp. ascendens (Jord.) B.Bock,  2012 ",DD,Clinopodium nepeta subsp. ascendens 
"Clinopodium nepeta subsp. nepeta (L.) Kuntze, 1891 ",MOY,Clinopodium nepeta subsp. nepeta 
"Clinopodium nepeta subsp. sylvaticum (Bromf.)  Peruzzi & F.Conti, 2008 ",MOY,Clinopodium nepeta subsp. sylvaticum 
"Clinopodium vulgare L., 1753 ",FAI,Clinopodium vulgare
"Clinopodium vulgare subsp. arundanum (Boiss.)  Nyman, 1881 ",DD,Clinopodium vulgare subsp. arundanum 
"Clinopodium vulgare subsp. vulgare L., 1753 ",DD,Clinopodium vulgare subsp. vulgare 
"Clypeola jonthlaspi L., 1753 ",MOY,Clypeola jonthlaspi
"Cneorum tricoccon L., 1753 ",FOR,Cneorum tricoccon
"Coeloglossum viride (L.) Hartm., 1820 ",MOY,Coeloglossum viride
"Coincya monensis (L.) Greuter & Burdet, 1983 ",MOY,Coincya monensis
"Coincya richeri (Vill.) Greuter & Burdet, 1983 ",FOR,Coincya richeri
"Colchicum alpinum DC., 1805 ",MOY,Colchicum alpinum
"Colchicum arenasii Fridl., 1999 ",TFO,Colchicum arenasii
"Colchicum autumnale L., 1753 ",MOY,Colchicum autumnale
"Colchicum bulbocodium Ker Gawl., 1807 ",MOY,Colchicum bulbocodium
"Colchicum corsicum Baker, 1879 ",TFO,Colchicum corsicum
"Colchicum filifolium (Cambess.) Stef., 1926 ",FOR,Colchicum filifolium
"Colchicum longifolium Castagne, 1845 ",MOY,Colchicum longifolium
"Colchicum nanum K.Perss., 2007 ",FOR,Colchicum nanum
"Coleostephus myconis (L.) Cass. ex Rchb.f., 1854 ",MOY,Coleostephus myconis
"Colutea arborescens L., 1753 ",MOY,Colutea arborescens
